source,target,mut_source,mut_target,mean_step,sd_step,raw_reproducibility,log_reproducibility,reliable_uphill_score,source_mean_fitness,target_mean_fitness
OOOOOOOW,OOOOOOOO,7,8,0.9955684155957688,1.5123314969493449,0.6174712938868097,0.20883658175669895,0.207911104817953,-0.061621949518046414,0.9339464660777222
OOOOOOWO,OOOOOOOO,7,8,0.7345095015762723,1.3829662094252602,0.4952975306571142,0.17472761611609686,0.12833909422504453,0.19943696450145007,0.9339464660777222
OOOOOWOO,OOOOOOOO,7,8,0.6152531115500831,0.7992563207135044,0.6841799133109432,0.22638848335400585,0.1392862188026563,0.31869335452763925,0.9339464660777222
OOOOWOOO,OOOOOOOO,7,8,-0.3399009630144499,1.2242761424755437,0.2566692490427668,0.09922098793483457,0.0,1.2738474290921722,0.9339464660777222
OOOWOOOO,OOOOOOOO,7,8,2.3876500361156996,2.0880193663589055,1.0912380725811401,0.32040347697010835,0.7650113733592749,-1.453703570037977,0.9339464660777222
OOWOOOOO,OOOOOOOO,7,8,-0.1284426615085926,1.0369184119639665,0.11297438774583189,0.04648517027483406,0.0,1.0623891275863149,0.9339464660777222
OWOOOOOO,OOOOOOOO,7,8,0.6361496893182461,1.6537364157873768,0.3627396247187085,0.1344128841911553,0.08550671451857284,0.2977967767594762,0.9339464660777222
WOOOOOOO,OOOOOOOO,7,8,0.5266764360308721,0.3426317231509631,1.189875032638013,0.3404193321075795,0.17929084059042982,0.4072700300468502,0.9339464660777222
OOOOOOWW,OOOOOOOW,6,7,2.682606871045886,2.9348295225573193,0.8839398889151998,0.27506704159438106,0.7378967357793511,-2.7442288205639325,-0.061621949518046414
OOOOOWOW,OOOOOOOW,6,7,-0.7894806361322774,0.9253258551275664,0.7699802284163153,0.2479684150975968,0.0,0.727858686614231,-0.061621949518046414
OOOOWOOW,OOOOOOOW,6,7,-0.27538884280138676,1.2665276541768107,0.2015245296790423,0.07973264155315746,0.0,0.2137668932833404,-0.061621949518046414
OOOWOOOW,OOOOOOOW,6,7,-0.02174634504369181,1.0622532581998663,0.01871050469445293,0.00805078452029505,0.0,-0.039875604474354565,-0.061621949518046414
OOWOOOOW,OOOOOOOW,6,7,-0.7704966867627455,1.5844067546307539,0.4574291124424097,0.16358744039586587,0.0,0.7088747372446992,-0.061621949518046414
OWOOOOOW,OOOOOOOW,6,7,-1.4744909896633518,3.534198524647314,0.40572659409310774,0.14790086106578484,0.0,1.4128690401453055,-0.061621949518046414
WOOOOOOW,OOOOOOOW,6,7,0.13749204943129523,1.8036228140497537,0.07222651904386228,0.030286544292001394,0.004164159044898968,-0.1991139989493416,-0.061621949518046414
OOOOOOWW,OOOOOOWO,6,7,2.9436657850653822,0.1612455341726364,11.267812842764798,1.0887671417826923,3.204966583169141,-2.7442288205639325,0.19943696450145007
OOOOOWWO,OOOOOOWO,6,7,2.4213297555757376,1.3012985974496871,1.7279184893087527,0.4358313893816944,1.0552915115238122,-2.2218927910742874,0.19943696450145007
OOOOWOWO,OOOOOOWO,6,7,0.24363608881009133,1.5604294833075232,0.14673076529861173,0.05946146422173762,0.014486958577905334,-0.0441991243086412,0.19943696450145007
OOOWOOWO,OOOOOOWO,6,7,0.971304007177098,0.4399893715608362,1.7987465278613715,0.4469635677995629,0.434137504465888,-0.7718670426756479,0.19943696450145007
OOWOOOWO,OOOOOOWO,6,7,0.07940243820998945,2.1296516497020814,0.035612037521914656,0.015197089849895214,0.0012066859877779626,0.12003452629146055,0.19943696450145007
OWOOOOWO,OOOOOOWO,6,7,1.4447432062287708,0.6457357208888095,1.9373394163107076,0.46795413314652956,0.6760735546901222,-1.2453062417273209,0.19943696450145007
WOOOOOWO,OOOOOOWO,6,7,1.46103470019799,1.7492753732250559,0.7900579445072092,0.2528670894002483,0.36944759215183015,-1.2615977356965402,0.19943696450145007
OOOOOWWW,OOOOOOWW,5,6,-0.8634954361396937,1.3112546950705508,0.6118636410251419,0.2073282989732989,0.0,-1.8807333844242384,-2.7442288205639325
OOOOWOWW,OOOOOOWW,5,6,-1.5732945879199605,1.73071043693908,0.8593901887348635,0.2693705350291056,0.0,-1.1709342326439718,-2.7442288205639325
OOOWOOWW,OOOOOOWW,5,6,-2.1042234475500754,1.2879348481874702,1.51608229327048,0.40072484143491505,0.0,-0.640005373013857,-2.7442288205639325
OOWOOOWW,OOOOOOWW,5,6,-2.138544599983721,0.625746003884893,2.94668463696137,0.5962324251289092,0.0,-0.6056842205802112,-2.7442288205639325
OWOOOOWW,OOOOOOWW,5,6,-0.12170952145283698,0.9582760121237487,0.11500735163465556,0.04727773084950529,0.0,-2.622519299111095,-2.7442288205639325
WOOOOOWW,OOOOOOWW,5,6,0.854488913870223,1.4426500673264737,0.5539097504796504,0.1914257918092587,0.1635712169298409,-3.598717734434155,-2.7442288205639325
OOOOOWOW,OOOOOWOO,6,7,-0.4091653320865918,1.3090131948381458,0.290391412646489,0.1107214642285079,0.0,0.727858686614231,0.31869335452763925
OOOOOWWO,OOOOOWOO,6,7,2.5405861456019267,1.5104475601723322,1.577565273426265,0.4112096720272913,1.0447135956900484,-2.2218927910742874,0.31869335452763925
OOOOWWOO,OOOOOWOO,6,7,0.4910581034897506,1.1682020697073023,0.3872080918485533,0.1421416134618103,0.06979979113352977,-0.17236474896211132,0.31869335452763925
OOOWOWOO,OOOOOWOO,6,7,-0.43782104314391895,0.825221338776595,0.4732068152717301,0.16826371929776723,0.0,0.7565143976715584,0.31869335452763925
OOWOOWOO,OOOOOWOO,6,7,0.5057698288420244,1.9596835230138996,0.24555705922332188,0.09536362744717138,0.04823204553171045,-0.18707647431438504,0.31869335452763925
OWOOOWOO,OOOOOWOO,6,7,0.7818462368289838,0.33024493305173436,1.8172119571132088,0.44981952300343503,0.3516897013124442,-0.4631528823013446,0.31869335452763925
WOOOOWOO,OOOOOWOO,6,7,1.0646445610775201,0.6120931678256275,1.4950916666261613,0.39708650570234116,0.42275598857327523,-0.7459512065498809,0.31869335452763925
OOOOOWWW,OOOOOWOW,5,6,2.608592071038469,1.19007980557318,2.0220393031262716,0.48030010825577446,1.2529070541149316,-1.8807333844242384,0.727858686614231
OOOOWWOW,OOOOOWOW,5,6,0.5763614137197686,1.6616524279754963,0.32717090191402126,0.12292685125868862,0.07085029377557749,0.15149727289446244,0.727858686614231
OOOWOWOW,OOOOOWOW,5,6,0.23612221051466972,0.6095910536140329,0.3327581559999535,0.12475134893096217,0.029456564274265667,0.4917364760995613,0.727858686614231
OOWOOWOW,OOOOOWOW,5,6,0.02641589226082917,0.6667288695044126,0.034452716353179064,0.014710644352930131,0.0003885947963143774,0.7014427943534018,0.727858686614231
OWOOOWOW,OOOOOWOW,5,6,0.30519717571782534,0.6113769511158977,0.4290231434109292,0.15503926236288681,0.04731754499852799,0.42266151089640563,0.727858686614231
WOOOOWOW,OOOOOWOW,5,6,0.6814864871053037,0.9571126052568346,0.644667827927121,0.21607819707906653,0.14725437146746054,0.04637219950892731,0.727858686614231
OOOOOWWW,OOOOOWWO,5,6,-0.34115940665004874,0.2994918513281908,0.8539833929422987,0.26810583963273793,0.0,-1.8807333844242384,-2.2218927910742874
OOOOWWWO,OOOOOWWO,5,6,-1.6833208399360988,0.5520055992928904,2.5817582575390228,0.5540962708039939,0.0,-0.5385719511381883,-2.2218927910742874
OOOWOWWO,OOOOOWWO,5,6,-0.1306674163908704,1.4315049064452479,0.08531961983338368,0.035557654026694654,0.0,-2.091225374683417,-2.2218927910742874
OOWOOWWO,OOOOOWWO,5,6,-0.8932778133149828,0.2176982640218902,2.8117176405264646,0.5811207220546767,0.0,-1.3286149777593044,-2.2218927910742874
OWOOOWWO,OOOOOWWO,5,6,0.5174944572842289,2.094133564916639,0.23585367160813198,0.09196705216444104,0.04759243974786779,-2.739387248358516,-2.2218927910742874
WOOOOWWO,OOOOOWWO,5,6,1.8867002008440006,1.809641298043116,0.9879866982230515,0.29841347417213204,0.5630167616551175,-4.108592991918288,-2.2218927910742874
OOOOWWWW,OOOOOWWW,4,5,-1.7865887488811278,1.0009159777031655,1.6228202561002676,0.41876852907355383,0.0,-0.09414463554311057,-1.8807333844242384
OOOWOWWW,OOOOOWWW,4,5,-1.5963004602084931,0.6058734204836496,2.2614542691163266,0.5134112933875051,0.0,-0.28443292421574523,-1.8807333844242384
OOWOOWWW,OOOOOWWW,4,5,0.2208065428073025,1.0930861256242788,0.18507175472497103,0.07374464717114729,0.01628330059240535,-2.1015399272315407,-1.8807333844242384
OWOOOWWW,OOOOOWWW,4,5,-0.3170755024458394,0.9383401922444025,0.3053676481120041,0.1157328450532755,0.0,-1.563657881978399,-1.8807333844242384
WOOOOWWW,OOOOOWWW,4,5,0.8932863934346096,1.3692652734049227,0.6079816964328565,0.20628110089038534,0.18426810064809315,-2.774019777858848,-1.8807333844242384
OOOOWOOW,OOOOWOOO,6,7,1.0600805358088317,1.009006207391042,0.955883320349208,0.291342943069202,0.3088469831929216,0.2137668932833404,1.2738474290921722
