library_id,wo,Neg,Pos,Pre,log2fc_pos_pre,log2fc_neg_pre,delta_pos,delta_neg,mut_count,ddelta,p_pos_neg,q_pos_neg,p_pos_neg_safe,neglog10_p_pos_neg,category
1,OOOOOOOO,0.005948576,0.008597421,0.003254128,1.4013574833130393,0.8700726782791035,0.005343293,0.002694448,8,0.5312848050339358,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOOOOW,0.001346929,0.001362078,0.001795968,-0.398696338,-0.414819943,-0.00043389,-0.000449039,7,0.016123605616126524,0.091961069,0.092685172,0.091961069,1.036395990062663,Not significant
1,OOOOOOWO,0.003486039,0.001391415,0.002819381,-1.018301002,0.30611231507930275,-0.001427966,0.000666658,7,-1.324413317,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOOOOWW,0.003220097,0.000169239,0.004766988,-4.807749005,-0.565828478,-0.00459775,-0.001546891,6,-4.241920527,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOOOWOO,0.000681942,0.000339527,0.000464394,-0.450683607,0.5533115110930845,-0.000124867,0.000217548,7,-1.003995118,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOOOWOW,0.002381253,0.004198261,0.00287299,0.5470805691747836,-0.270728541,0.001325271,-0.000491737,6,0.8178091097250844,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOOWWO,0.002788987,0.000588008,0.003476046,-2.561502288,-0.317603993,-0.002888038,-0.00068706,6,-2.243898295,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOOOWWW,0.003475617,0.000882837,0.005217667,-2.561829417,-0.58599703,-0.00433483,-0.001742049,5,-1.975832387,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOOWOOO,0.001659046,0.001440497,0.001081904,0.412662091,0.6163177949323557,0.000358593,0.000577142,7,-0.203655704,7.002970306105365e-114,8.063390097584588e-114,7.002970306105365e-114,113.15471771513737,Significant small-effect
1,OOOOWOOW,0.005564063,0.004642883,0.004445883,0.062537151,0.3236035751421795,0.000197,0.00111818,6,-0.261066424,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOWOWO,0.008702254,0.007050592,0.006047299,0.22141961725193535,0.5250253770731106,0.001003293,0.002654955,6,-0.30360576,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOWOWW,0.001833504,0.001003069,0.006586886,-2.71395769,-1.844425837,-0.005583817,-0.004753382,5,-0.869531853,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOWWOO,0.00727864,0.006394132,0.006427249,-0.007451669,0.179441288,-3.31E-05,0.000851391,6,-0.186892957,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOWWOW,0.006078414,0.004358545,0.004227658,0.043977608,0.5237321593967292,0.000130887,0.001850755,5,-0.479754552,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOWWWO,0.004442411,0.00226466,0.004678626,-1.046461745,-0.074725635,-0.002413966,-0.000236215,5,-0.97173611,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOOWWWW,0.002388986,0.002820971,0.003498723,-0.310537451,-0.55023889,-0.000677752,-0.001109738,4,0.23970143928021914,7.909351454335208e-266,1.0090335410181793e-265,7.909351454335208e-266,265.10185912602833,Significant small-effect
1,OOOWOOOO,0.001115475,5.7961570616938164e-05,0.000342465,-2.542317871,1.700713901594122,-0.000284504,0.000773009,7,-4.243031773,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOWOOOW,0.002594886,0.002418163,0.002505631,-0.051241953,0.050477145,-8.75E-05,8.925455872264756e-05,6,-0.101719098,2.765068171011074e-47,3.038014814501438e-47,2.765068171011074e-47,46.55829415697087,Significant small-effect
1,OOOWOOWO,0.004909275,0.001415956,0.00529498,-1.902102892,-0.109093796,-0.003879024,-0.000385705,6,-1.793009096,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOWOOWW,0.00224106,0.001286245,0.005003521,-1.958945681,-1.15840728,-0.003717277,-0.002762462,5,-0.800538401,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOWOWOO,0.00471153,0.005779934,0.005832286,-0.013006367,-0.307807103,-5.24E-05,-0.001120756,6,0.29480073591324796,0,0,5.396576880224386e-299,298.2678816315526,Significant small-effect
1,OOOWOWOW,0.009338798,0.009142005,0.009116479,0.004033413,0.034756388544380054,2.552584853025841e-05,0.000222319,5,-0.030722975,3.975956268469838e-17,4.2059702674722254e-17,3.975956268469838e-17,16.40055840105206,Significant small-effect
1,OOOWOWWO,0.003682051,0.000461332,0.00557176,-3.591390373,-0.597490617,-0.005110428,-0.001889709,5,-2.993899756,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
1,OOOWOWWW,0.000722962,0.000341887,0.002256475,-2.718904491,-1.640724137,-0.001914588,-0.001533513,4,-1.078180354,0,0,5.396576880224386e-299,298.2678816315526,Significant negative-biased
